location_id,image,caption
28,images/locations/gallery/IMG_0445.JPG,Ramp and handrails within the connecting passage.
28,images/locations/gallery/IMG_0458.JPG,Passenger lift serving the Sports Centre floors.
28,images/locations/gallery/IMG_0464.JPG,Main external entrance to Aberdeen Sports Village.
25,images/locations/gallery/IMG_0416.JPG,Exterior view of the Butchart Recreation Centre.
25,images/locations/gallery/IMG_0420.JPG,Ground-floor lift and adjacent staircase.
25,images/locations/gallery/IMG_0423.JPG,Entrance to the accessible locker-room area.
8,images/locations/gallery/IMG_0169.JPG,Main exterior entrance to the Students' Union Building.
8,images/locations/gallery/IMG_0495.JPG,External access ramp with handrails beside the building.
8,images/locations/gallery/IMG_0525.JPG,Accessible internal ramp through the Students' Union dining area.
1,images/locations/gallery/IMG_0340.JPG,Main glass entrance to the Sir Duncan Rice Library.
1,images/locations/gallery/IMG_0342.JPG,Ground-floor atrium and reception area inside the library.
1,images/locations/gallery/IMG_0343.JPG,Ground-floor lift and mobility equipment near the library entrance.
20,images/locations/gallery/IMG_0504.JPG,Main automatic glass entrance to the Science Teaching Hub.
20,images/locations/gallery/IMG_0513.JPG,Passenger lift and floor directory.
20,images/locations/gallery/IMG_0516.JPG,Interior of an accessible toilet with support rails.
14,images/locations/gallery/IMG_0349.JPG,Covered entrance with automatic glass doors.
14,images/locations/gallery/IMG_0353.JPG,Raised walkway leading to the Zoology Building entrance.
14,images/locations/gallery/IMG_0356.JPG,Passenger lifts inside the Zoology Building.
19,images/locations/gallery/IMG_0081.JPG,Approach to the William Guild Building entrance with steps and handrails.
19,images/locations/gallery/IMG_0083.JPG,Accessible entrance and door-entry control at the William Guild Building.
19,images/locations/gallery/IMG_0091.JPG,Covered external walkway and sloped approach beside the building.
38,images/locations/gallery/IMG_0025.JPG,Main reception entrance to the University Offices.
38,images/locations/gallery/IMG_0028.JPG,Sloped side approach with handrails.
38,images/locations/gallery/IMG_0036.JPG,Reception desk inside the University Offices.
2,images/locations/gallery/IMG_0246.JPG,Main wooden entrance doors to King's College.
2,images/locations/gallery/IMG_0249.JPG,Entrance hall and staircase inside King's College.
2,images/locations/gallery/IMG_0250.JPG,Internal double doors with an accessible door-opening control.
3,images/locations/gallery/IMG_0206.JPG,Internal staircase with contrasting step edges and handrails.
3,images/locations/gallery/IMG_0209.JPG,Side entrance to New King's surrounded by planted foliage.
3,images/locations/gallery/IMG_0678.JPG,Main entrance to New King's with steps and adjacent handrails.
4,images/locations/gallery/IMG_0253.JPG,Left-hand entrance on the south exterior of King's College Chapel.
4,images/locations/gallery/IMG_0254.JPG,Right-hand entrance on the south exterior of King's College Chapel.
4,images/locations/gallery/IMG_0264.JPG,Historic arched doorway on the west side of King's College Chapel.
5,images/locations/gallery/IMG_0229.JPG,Main wooden entrance with a temporary access ramp.
5,images/locations/gallery/IMG_0261.JPG,Entrance foyer with seating and internal lift access.
5,images/locations/gallery/IMG_0263.JPG,Tiered seating inside the King's Auditorium.
6,images/locations/gallery/IMG_0213.JPG,Pavement and level external route beside Elphinstone Hall.
6,images/locations/gallery/IMG_0214.JPG,Interior corridor leading towards the accessible toilet.
6,images/locations/gallery/IMG_0216.JPG,Arched external entrance to Elphinstone Hall.
7,images/locations/gallery/IMG_0140.JPG,Taylor Building Block A entrance with ramp and handrails.
7,images/locations/gallery/IMG_0143.JPG,Taylor Building Block C entrance with ramp and steps.
7,images/locations/gallery/IMG_0146.JPG,Taylor Library entrance with steps and handrails.
10,images/locations/gallery/IMG_0003.JPG,Main entrance approach on the west side of the MacRobert Building.
