location_id,space_id,name,space_type,is_quiet_zone,description,thumbnail_image,week_days_opentime,weekdays_close_time,Saturday_open_time,saturday_close_time,sunday_holidays_open_time,Sunday_holidays_close_time,opening_hours_note,sensory_experience,wayfinding,is_safety_space_neurodivergent_students,latitude,longitude,floor
1,1,Ground Floor Cafe (Hardback),food_drink,FALSE,"The Hardback Cafe is located within the Sir Duncan Rice Library and offers a selection of hot and cold snacks, hot drinks and refreshments, using triple-certified Fairtrade, organic and Rainforest Alliance coffee.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_Groundfloor_Coffee_Shop.jpeg,8:30 am,7 pm,12:30:00,4 pm,12:30:00,4 pm,,,tip to find anything that might be difficult to find. ,FALSE,57.165524,-2.105763,Ground Floor
1,2,Ground Floor Study Space,study,FALSE,"The ground floor is the library's main entrance and welcome area. Here you can find the Welcome Desk for enquiries and a café for refreshments, alongside an events area and an exhibition gallery. Practical services include public-information PCs and a returns room for dropping off books. Facilities here are accessible, with accessible toilets, a baby-changing facility, vending machines and a water fountain available to visitors.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_Common_Space.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,FALSE,57.165358,-2.105804,Ground Floor
1,3,First Floor Study Space,study,FALSE,"The first floor is a group study floor, where you can find the Information Centre and IT help desk. It offers a range of study spaces — including plug booths, a silent study room, a music resource room, and a multimedia room — alongside self-service kiosks and multifunction printing/photocopying/scanning devices. Specialist collections include the Heavy Demand Collection and a current newspaper area. Practical facilities include a microform room, accessible and standard toilets, a first aid room, and a water fountain.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_Groundfloor_1st_floor.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,FALSE,57.165495,-2.10598,First Floor
1,4,Second Floor Study Space,study,FALSE,"The library's second floor is a group study floor. It offers designated quiet study area, PC connections and monitors, a multimedia room, MFDs (print/photocopy/scan), and accessible toilets.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_2nd_Floor.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,FALSE,57.165458,-2.105679,Second Floor
1,5,Third Floor Study Space,study,TRUE,"The library's third floor is a group study floor. With a designated quiet study area, Co-Labs collaborative spaces, an information point, reader carrels, silent study rooms, self-service kiosks, print/photocopy/scan devices, accessible toilets and a water fountain.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_3rd_floor.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,TRUE,57.165375,-2.105947,Third Floor
1,6,Fourth Floor Study Space,study,TRUE,"The library's fourth floor, a quiet study floor with plug booths, Co-Labs collaborative spaces, an information point, a designated quiet study area, silent study rooms, self-service kiosks, print/photocopy/scan devices, accessible toilets and a water fountain.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_4th_5th_6th_7th_floors.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,TRUE,57.165535,-2.105853,Fourth Floor
1,7,Fifth Floor Study Space,study,TRUE,"The library's fifth floor, a silent study floor with Co-Labs collaborative spaces, an information point, a quiet study area, a reader carrel, silent study rooms, self-service kiosks, print/photocopy/scan devices, accessible toilets and a water fountain.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_common_area_4th_to_7th_floor.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,TRUE,57.165339,-2.105641,Fifth Floor
1,8,Sixth Floor Study Space,study,TRUE,"The library's sixth floor, a silent study floor with Co-Labs collaborative spaces, an information point, a quiet study area, a reader carrel, a silent study room, the Teaching Resources Collection, self-service kiosks, print/photocopy/scan devices, accessible toilets and a water fountain.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_group_study_spaces_4th_5th_6th_floors.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,TRUE,57.165449,-2.106125,Sixth Floor
1,9,Seventh Floor Study Space,study,TRUE,"The library's seventh and top floor, offering bookable Group Study Rooms 1 & 2 and Meeting Rooms 1 to 3, a flexible learning area, a break-out room with panoramic city views, a quiet study area, self-service kiosks, print/photocopy/scan devices, accessible toilets and a water fountain.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_meeting_room.jpeg,8 am,10 pm,9 am,10 pm,11 am,10 pm,,,,TRUE,57.165545,-2.10563,Seventh Floor
2,10,First Floor Study Space,study,FALSE,"A study area for individual study and coursework, with a generally focused, low-key atmosphere.",images\spaces\thumnail_images\Kings_college_Space.jpeg,9 am,5 pm,Closed,Closed,Closed,Closed,,,No wayfinding information available.,TRUE,57.163844,-2.101052,First Floor
6,11,Study Space,quiet,TRUE,"A study area kept calm and low in noise, suited to peaceful study, rest or a quiet moment. It is also flagged as a quiet zone, so noise is kept to a minimum for those who need a calmer environment.",images\spaces\thumnail_images\Kings_College_Auditorium.jpeg,,,,,,,Open for booked events only — no fixed public hours,,No wayfinding information available.,TRUE,57.164472,-2.100287,Not specified
7,12,FoodStory,food_drink,FALSE,"A teaching space of classrooms for individual study and coursework, with a generally focused, low-key atmosphere. Usage spans study and quiet depending on the time of day.",images\spaces\thumnail_images\foodstory.jpeg,9 am,Varies by event,Closed,Closed,Varies by event,Closed,,,No wayfinding information available.,TRUE,57.16493,-2.100614,Not specified
7,13,Taylor Library,study,TRUE,"A study area for individual study and coursework, with a generally focused, low-key atmosphere. It is also flagged as a quiet zone, so noise is kept to a minimum for those who need a calmer environment. Usage spans study and quiet depending on the time of day.",images\spaces\thumnail_images\Taylor_Library1.jpeg,9 am,10 pm,9 am,5:00 PM,closed,closed,,,No wayfinding information available.,TRUE,57.165098,-2.100604,Not specified
8,14,First Floor Study Space,social,FALSE,"A study area where students gather to eat, meet and work together, with a livelier, higher-energy feel.",images\spaces\thumnail_images\Student_Union_Common_Area.jpeg,9 am,21:00:00,Closed,Closed,Closed,Closed,,,No wayfinding information available.,FALSE,57.166778,-2.104257,First Floor
10,15,First Floor Cafe,food_drink,FALSE,"A busy cafe-style space where students gather to eat, meet and work together, with a livelier, higher-energy feel. Usage spans social and study depending on the time of day.",images\spaces\thumnail_images\MacRobert_Building_Cafe.jpeg,9 am,5 pm,Closed,Closed,Closed,Closed,,,No wayfinding information available.,FALSE,57.16634,-2.098432,First Floor
12,16,First Floor Study Space,study,FALSE,"A study area where students gather to eat, meet and work together, with a livelier, higher-energy feel. Usage spans social and study depending on the time of day.",images\spaces\thumnail_images\fraser_noble_gound_floor_study_space.jpeg,9 am,22:00:00,Closed,Closed,Closed,Closed,,,No wayfinding information available.,FALSE,57.165961,-2.104635,First Floor
14,17,First Floor Study Space,study,FALSE,"A study area where students gather to eat, meet and work together, with a livelier, higher-energy feel. Usage spans social and study depending on the time of day.",,10:00 am,16:00:00,,closed,closed,closed,Open to the public. Holidays open.,,No wayfinding information available.,FALSE,57.167849,-2.106236,First Floor
18,18,First Floor Study Space,study,TRUE,"A study area where students gather to eat, meet and work together, with a livelier, higher-energy feel. It is also flagged as a quiet zone, so noise is kept to a minimum for those who need a calmer environment. Usage spans social and study depending on the time of day.",,9:30 am,4:30 pm,Closed,Closed,Closed,closed,,,No wayfinding information available.,FALSE,57.164024,-2.103493,First Floor
19,19,First Floor Study Space,study,TRUE,"A study area where students gather to eat, meet and work together, with a livelier, higher-energy feel. It is also flagged as a quiet zone, so noise is kept to a minimum for those who need a calmer environment. Usage spans social and study depending on the time of day.",images\spaces\thumnail_images\William_Guild_Space.jpeg,9 am,5 pm,Closed,Closed,Closed,Closed,,,No wayfinding information available.,FALSE,57.16585,-2.09917,First Floor
8,20,Third Floor Student Support Space,quiet,TRUE,"A student support space a calm, low-stimulation setting where students can rest, recharge and take a break from busier areas. It is also flagged as a quiet zone, so noise is kept to a minimum for those who need a calmer environment.",images\spaces\thumnail_images\Student_Union_Employability_services.jpeg,09:00:00,21:00:00,closed ,Closed,closed ,Closed,,,No wayfinding information available.,TRUE,57.166922,-2.104099,Third Floor
12,21,second floor common room ,study,TRUE,"A common room used by staff and students, this area is great for quiet study, as a quiet space it great for those who need a calmer environment.",images\spaces\thumnail_images\School_of_engineering_common_room.jpeg,9:00 AM,5:00 PM,closed,closed,closed ,closed,,,No wayfinding information available.,TRUE,57.165821,-2.104466,Second Floor
18,22,multipurpose study space,social,FALSE,"A seating area located in one of the hallways of the Crombie Annexe, good as a social area and study. ",images\spaces\thumnail_images\Crombie_Hall_Multiporpuse_anexe.jpeg,9:30 AM,4:30 PM,closed ,Closed,closed ,Closed,,,No wayfinding information available.,FALSE,57.164153,-2.103688,Not specified
12,23,Outdoor Area,outdoor,TRUE,"located on the second floor, this outdoor area is considered quiet, good for anyone who need a calmer environment. ",images\spaces\thumnail_images\School_of_Engineering_common_outside_area.jpeg,9:00 AM,10:00 PM,closed ,closed,closed ,closed,,,No wayfinding information available.,TRUE,57.165862,-2.104765,Second Floor (Outdoor)
8,24,Student Union Canteen,food_drink,FALSE,"A busy food court used by many students and staff, this area is usually busy and noisy, also a good space to study",images\spaces\thumnail_images\Student_Union_Foodcourt.jpeg,11:30 AM,3:00 PM,closed ,closed,closed,Closed,,,No wayfinding information available.,FALSE,57.166758,-2.104036,Not specified
8,25,Student Union Meeting Room,quiet,TRUE,"a quiet meeting room on the second floor, a place to study and provides a calm environment",images\spaces\thumnail_images\Student_Union_Meeting_Room.jpeg,9:00 AM,9:00 PM,Closed,Closed,closed ,Closed,,,No wayfinding information available.,TRUE,57.166856,-2.104286,Second Floor
8,26,Student Union Games Room,social,FALSE,"a social space good for winding down, a very social environenment. ",images\spaces\thumnail_images\Student_Union_Room_game.jpeg,9:00 AM,9:00 PM,closed ,closed,closed ,closed,,,No wayfinding information available.,FALSE,57.166875,-2.10398,Not specified
8,27,Student Union Store,social,FALSE,"one of the few stores in campus used by many students, situation in the busy student union",images\spaces\thumnail_images\Student_Union_Souvenir_Store.jpeg,9:00 AM,9:00 PM,closed ,Closed,closed ,Closed,,,No wayfinding information available.,FALSE,57.166748,-2.104181,Not specified
24,28,Memorial Garden Space,outdoor,TRUE,"An outdoor seating and garden area within the Lady MacRobert Memorial Garden. The space provides benches surrounded by trees, planting and memorial features, offering a place for quiet reflection or rest.",images\spaces\thumnail_images\Lady_MacRobert_Garden.jpeg,,,,,,,Open 24 hours,,The garden is located near the central Old Aberdeen campus. Follow the main pedestrian paths to the Lady MacRobert Memorial Garden.,TRUE,57.166251,-2.101464,Ground Level (Outdoor)
11,29,Room 233 Common Meeting Area,study,FALSE,"A shared meeting and study area in Room 233 of the Meston Building. The room provides tables, chairs and informal seating for individual work, group discussion and meetings.",images\spaces\thumnail_images\Meston_Building_233_common_meeting_area.jpeg,9:00 AM,5:00 PM,Closed,Closed,Closed,Closed,Access may be restricted outside normal building hours.,,Enter the Meston Building and follow the internal signs to Room 233. Confirm the floor and accessible route using the building signage.,FALSE,57.165257,-2.104586,Second Floor
11,30,Room 238 PGR Common Room,study,TRUE,"A postgraduate research common room in Room 238 of the Meston Building. It contains shared tables, chairs and informal seating suitable for individual study, group work and breaks.",images\spaces\thumnail_images\Meston_Building_238_PGR_Common_Room.jpeg,9:00 AM,5:00 PM,Closed,Closed,Closed,Closed,Access may be limited to authorised postgraduate research students and staff.,,Enter the Meston Building and follow the internal signs to Room 238. Access requirements should be confirmed with the relevant school or department.,TRUE,57.165179,-2.104312,Second Floor
11,31,Common Area 2,social,FALSE,"An informal common area in the Meston Building with tables, chairs and vending facilities. It can be used for short breaks, informal meetings or independent work.",images\spaces\thumnail_images\Meston_Building_Common_area_2.jpeg,9:00 AM,5:00 PM,Closed,Closed,Closed,Closed,Access may be restricted outside normal building hours.,,Enter the Meston Building and follow the internal signs towards the common areas. Confirm the exact floor using the building signage.,FALSE,57.165136,-2.104611,Not specified
1,32,Library Gallery,social,FALSE,"An exhibition gallery within the Sir Duncan Rice Library. The space is used to display exhibitions, collections and other public materials for students, staff and visitors.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_Gallery.jpeg,8:00 AM,10:00 PM,9:00 AM,10:00 PM,11:00 AM,10:00 PM,Gallery access may depend on library opening hours and scheduled exhibitions.,,Enter through the main library entrance and follow the signs for the Gallery. The Gallery entrance is accessible from the main public area.,FALSE,57.165293,-2.105875,Ground Floor
1,33,Ground Floor Children's Library,quiet,TRUE,"A designated children's library area on the ground floor of the Sir Duncan Rice Library. It contains children's books, low-level shelving and seating for children and accompanying adults.",images\spaces\thumnail_images\Sir_Duncan_Rice_Library_Groundfloor_kids_Library.jpeg,8:00 AM,10:00 PM,9:00 AM,10:00 PM,11:00 AM,10:00 PM,Access follows the opening hours of the Sir Duncan Rice Library.,,Enter through the main library entrance and remain on the ground floor. Follow signs or ask at the Welcome Desk for the children's library area.,TRUE,57.165569,-2.106008,Ground Floor
8,34,Union Brew Cafe,food_drink,FALSE,"A cafe within the Students' Union Building offering drinks, refreshments and informal seating. The space can be used for socialising, taking breaks and informal study.",images\spaces\thumnail_images\Student_Union_Union_Brew_Cafe.jpeg,9:00 AM,9:00 PM,Closed,Closed,Closed,Closed,Cafe service hours may differ from the opening hours of the Students' Union Building.,,Enter the Students' Union Building and follow the internal signs for Union Brew. Ask at the main reception if assistance is required.,FALSE,57.166974,-2.104236,Not specified
7,35,Taylor Building Courtyard,outdoor,TRUE,An outdoor courtyard and pedestrian area beside the Taylor Building. It provides access to surrounding parts of the building and can be used as a calm outdoor space between classes.,images\spaces\thumnail_images\Taylor_Building_Courtyard.jpeg,9:00 AM,5:00 PM,Closed,Closed,Closed,Closed,The outdoor area may remain physically accessible outside building hours; access should be confirmed.,,Access the courtyard using the external pedestrian paths surrounding the Taylor Building. Confirm step-free access using the available campus route information.,TRUE,57.164971,-2.100403,Ground Level (Outdoor)
19,36,Ground Floor Common Area,social,FALSE,"An informal seating area on the ground floor of the William Guild Building, close to the reception and main circulation area. The space contains armchairs and small tables and can be used for short breaks, informal conversations or independent work between classes.",images\spaces\thumnail_images\William_Guild_Space(2).jpeg,9:00 AM,5:00 PM,Closed,Closed,Closed,Closed,Access follows the normal opening hours of the William Guild Building.,,Enter through the main entrance of the William Guild Building. The common area is located on the ground floor near the reception desk and main internal walkway.,FALSE,57.166015,-2.099225,Ground Floor
40,37,Crombie Hall Garden,outdoor,TRUE,"An outdoor garden and green space beside Crombie Halls. The area includes grass, mature trees and pedestrian paths and can be used for relaxation, quiet reflection or taking a break outdoors.",images\spaces\thumnail_images\Crombie_Hall_Garden.jpeg,,,,,,,No fixed opening hours; access may depend on accommodation and campus access arrangements.,,Approach Crombie Halls using the main pedestrian path. The garden is located outside the building and can be reached from the pavement beside the accommodation grounds.,TRUE,57.163719,-2.103679,Ground Level (Outdoor)
